[VOR]
;
; [VOR] Header Includes NDBs
; [NDB] Header Reserved for Peaks/MIAs
;
ABI 113.7   N032.28.53.000 W099.51.48.000
ABQ 113.2   N035.02.38.000 W106.48.59.000
ACH 117.8   N035.06.42.000 W105.02.24.000
ALS 113.9   N037.20.57.000 W105.48.56.000
BCE 112.8   N037.41.21.000 W112.18.14.000
BFV 110.0   N035.14.12.987 W099.12.22.192
BGD 108.6   N035.48.25.000 W101.22.56.000
BGS 114.3   N032.23.08.000 W101.29.01.000
BLD 116.7   N035.59.45.000 W114.51.49.000
BLH 117.4   N033.35.46.000 W114.45.40.000
BRK 112.5   N038.56.40.000 W104.38.00.000
BTY 114.7   N036.48.02.102 W116.44.51.529
BWS 109.6   N032.49.17.000 W106.00.47.000
BXK 110.6   N033.27.12.000 W112.49.29.000
BZA 116.8   N032.46.05.000 W114.36.10.000
CDS 117.6   N034.22.09.000 W100.17.20.000
CEP 278     N033.29.24.000 W105.24.16.000
CIE 115.8   N032.02.00.000 W109.45.30.000
CIM 116.4   N036.29.29.000 W104.52.19.000
CJS 116.7   N031.38.10.000 W106.25.33.000
CME 116.1   N033.20.14.920 W104.37.16.480
CNM 116.3   N032.15.24.000 W104.13.34.000
CNX 115.5   N034.22.01.000 W105.40.41.000
CSI 117.5   N029.55.20.000 W099.12.52.000
CUS 111.2   N031.49.09.000 W107.34.28.000
CUU 114.1   N028.47.56.000 W105.57.06.000
DEL 113.5   N028.12.51.000 W105.26.54.000
DHT 112.0   N036.05.29.000 W102.32.41.000
DMN 108.6   N032.16.32.000 W107.36.20.000
DRK 114.1   N034.42.09.188 W112.28.49.230
DUG 108.8   N031.28.22.000 W109.36.07.000
DVC 114.6   N037.48.31.000 W108.55.53.000
EED 115.2   N034.45.58.000 W114.28.27.000
ELP 115.2   N031.48.57.000 W106.16.55.000
EWM 112.4   N031.57.06.000 W106.16.21.000
FLG 113.85  N035.08.50.000 W111.40.27.000
FST 116.9   N030.57.07.590 W102.58.32.560
FTI 117.3   N035.39.27.000 W105.08.08.000
GBN 116.6   N032.57.23.000 W112.40.27.000
GCK 113.3   N037.55.09.000 W100.43.30.000
GCN 113.1   N035.57.37.000 W112.08.46.000
GFS 114.4   N035.07.52.121 W115.10.35.183
GTH 114.5   N033.46.42.000 W100.20.10.000
GUP 115.1   N035.28.34.000 W108.52.21.000
HBU 114.9   N038.27.07.700 W107.02.23.200
HEC 112.7   N034.47.49.304 W116.27.46.505
HGO 112.1   N038.49.03.000 W103.37.17.000
HMN 092X    N032.51.43.798 W106.06.32.998
HMO 112.8   N029.05.44.000 W111.03.07.000
HOB 111.0   N032.38.18.000 W103.16.10.000
HUP 115.0   N031.34.07.000 W105.22.35.000
ICT 113.8   N037.44.43.000 W097.35.02.000
IFI 114.7   N035.48.19.000 W098.00.14.000
IGM 108.8   N035.15.34.100 W113.55.56.170
INK 112.1   N031.52.29.000 W103.14.38.000
INW 112.6   N035.03.42.000 W110.47.42.000
IPL 115.9   N032.44.56.000 W115.30.31.000
IRW 114.1   N035.21.31.000 W097.36.33.000
IWA 113.3   N033.18.11.443 W111.39.05.166
JCT 116.0   N030.35.53.000 W099.49.03.000
LAA 116.9   N038.11.50.000 W102.41.15.000
LAS 116.9   N036.04.47.000 W115.09.35.000
LBB 109.2   N033.42.18.000 W101.54.50.000
LBL 112.3   N037.02.40.000 W100.58.16.000
LLO 108.2   N030.47.47.000 W098.47.15.000
LUF 077X    N033.32.16.000 W112.22.49.000
MAF 114.8   N032.00.34.000 W102.11.25.000
MMB 115.6   N036.20.37.000 W099.52.48.000
MOV 117.9   N026.57.01.000 W101.28.01.000
MRF 115.9   N030.17.54.000 W103.57.17.000
MXR 284     N036.42.02.000 W104.32.23.000
ONM 116.8   N034.20.20.000 W106.49.14.000
OLS 108.2   N031.25.03.800 W110.50.52.400
OTO 114.0   N035.04.20.000 W105.56.10.000
PEQ 111.8   N031.28.10.000 W103.34.29.000
PGS 112.0   N035.37.29.000 W113.32.40.000
PIO 110.4   N032.31.45.000 W105.18.19.000
PKE 117.9   N034.06.07.000 W114.40.55.000
PMD 114.5   N034.37.53.036 W118.03.49.759
PNH 116.6   N035.14.06.000 W101.41.56.000
PPE 112.1   N031.23.00.000 W113.30.03.000
PSP 115.5   N033.52.12.000 W116.25.47.000
PUB 116.7   N038.17.39.000 W104.25.46.000
PVW 112.9   N034.05.10.000 W101.47.25.000
PXR 115.6   N033.25.59.000 W111.58.13.000
RSK 115.3   N036.44.54.000 W108.05.56.000
SAF 110.6   N035.32.26.000 W106.03.54.000
SFL 113.0   N031.44.53.220 W105.05.12.520
SJN 112.3   N034.25.27.000 W109.08.37.000
SKX 414     N036.27.28.000 W105.40.35.000
SPS 112.7   N033.59.14.000 W098.35.37.000
SSO 115.4   N032.16.09.000 W109.15.47.000
SVC 110.8   N032.38.16.000 W108.09.40.000
TAS 117.6   N036.36.32.000 W105.54.23.000
TBC 113.5   N036.07.17.000 W111.16.11.000
TBE 111.2   N037.15.31.000 W103.36.00.000
TCC 113.6   N035.10.56.000 W103.35.55.000
TCS 112.7   N033.16.57.000 W107.16.50.000
TFD 114.8   N032.53.09.000 W111.54.31.000
TNP 114.2   N034.06.44.000 W115.46.12.000
TQA 111.6   N032.14.09.000 W099.49.00.000
TRM 116.2   N033.37.41.000 W116.09.37.000
TUS 116.0   N032.05.43.000 W110.54.53.000
TXO 112.2   N034.29.42.000 W102.50.23.000
UKW 112.4   N033.32.09.000 W097.49.17.000
ZUN 113.4   N034.57.57.000 W109.09.16.000


