[NDB]
103 ALEGROS-MTN  N034.09.35.000 W108.11.22.000
81  BAKER        N034.27.43.000 W111.22.33.000
115 BALDY-PEAK   N033.54.15.000 W109.33.27.000
100 BEARWALLOW   N033.27.10.000 W108.40.17.000
93  BILL-WMS-MTN N035.11.50.000 W112.12.08.000
101 BLACKRANGE-S N032.57.10.000 W107.46.47.000
102 BLACKRANGE-M N033.03.30.000 W107.51.32.000
101 BLACKRANGE-N N033.08.30.000 W107.51.32.000
57  BXK295034    N033.48.29.000 W113.21.23.000
52  BXK300048    N034.00.22.000 W113.31.19.000
53  BXK310045    N034.03.32.000 W113.21.38.000
103 CAPITAN      N033.36.15.000 W105.20.32.000
101 CAPITAN-E    N033.35.30.000 W105.16.02.000
103 CAPITAN-W    N033.36.45.000 W105.22.02.000
116 CHICOMA-MTN  N036.00.39.000 W106.23.10.000
98  CHIRACAHUE   N031.50.45.000 W109.17.17.000
85  COOKS-PEAK   N032.32.20.000 W107.44.17.000
64  DIAMOND-PT   N034.17.55.000 W111.12.24.000
68  DRK148034    N034.09.40.000 W112.16.08.000
62  DRK160034    N034.08.19.000 W112.24.20.000
46  DRK166043    N033.59.20.000 W112.29.03.000
44  DRK168044    N033.57.40.000 W112.30.33.000
47  DRK172039    N034.03.20.000 W112.33.30.000
64  DRK185030    N034.13.43.000 W112.40.26.000
75  EAGLE-PEAK   N030.55.25.000 W105.03.12.000
97  EAST-PEAK    N032.51.30.000 W105.46.02.000
117 ELK-MOUNTAIN N035.46.10.000 W105.33.00.000
44  ESTRELLA-MTS N033.10.56.000 W112.12.34.000
46  ESTRELLA-MTN N033.16.19.000 W112.16.58.000
90  FLG012017    N035.24.17.000 W111.31.35.000
95  FLG015007    N035.14.59.000 W111.36.16.000
77  FOUR-PEAKS   N033.40.53.000 W111.19.24.000
77  GRANITE-MTN  N034.38.00.000 W112.33.23.000
103 GREENS-PEAK  N034.06.35.000 W109.34.32.000
88  GUADALUPE    N031.53.30.000 W104.51.27.000
86  HUTCH        N034.48.31.000 W111.23.22.000
80  INW182043    N034.22.16.000 W111.01.48.000
79  JEROME-PEAK  N034.45.10.000 W112.10.00.000
105 KENDRICKS-PK N035.24.40.000 W111.50.33.000
92  LADRONES-PK  N034.26.15.000 W107.05.22.000
65  MARTIN       N034.31.01.000 W112.45.54.000
80  MAZATAL-PEAK N034.04.10.000 W111.27.30.000
87  MICA-MTN     N032.12.35.000 W110.32.32.000
108 MOGOLLON-PK  N033.16.30.000 W108.35.42.000
88  MORMON       N034.58.26.000 W111.30.58.000
108 MT-GRAHAM    N032.42.00.000 W109.52.47.000
127 MT-HUMPHRY   N035.20.52.000 W111.40.33.000
93  MT-LEMON     N032.26.30.000 W110.47.27.000
84  MT-LIVERMORE N030.37.01.000 W104.10.27.000
79  MT-MINGUS    N034.42.15.000 W112.06.56.000
113 MT-TAYLOR    N035.14.19.000 W107.36.30.000
080 MT-UNION     N034.24.30.000 W112.24.17.000
79  PENAL        N033.17.54.000 W110.47.59.000
113 REDONDO      N035.52.20.000 W106.33.30.000
85  RINCON-PEAK  N032.07.05.000 W110.31.02.000
90  SAF185014    N035.19.00.000 W106.09.02.000
104 SAN-MATON    N033.40.00.000 W107.26.55.000
103 SAN-MATOS    N033.33.25.000 W107.26.00.000
121 SIERRABLANCA N033.23.00.000 W105.48.22.000
94  SITE-GRAVES  N035.20.58.000 W112.00.30.000
92  SJN219043    N033.58.05.000 W109.48.40.000
108 SOUTH-BALDY  N033.59.30.000 W107.11.00.000
78  PXR054058    N033.49.21.000 W110.54.57.000
