[FIXES]
;
; Sections:
; O = Nil Fix
; Airway/TERPS
; ABQ Diagram
; AEG    "
; AMA    "
; CHD    "
; CVS    "
; DVT    "
; ELP    "
; FFZ    "
; FHU    "
; FLG    "
; GEU    "
; GYR    "
; HMN    "
; IWA    "
; LUF    "
; PHX    "
; PRC    "
; ROW    "
; RYN    "
; SAF    "
; SDL    "
; SRR    "
; TUS    "
;
; Airway/TERPS
;
O     N000.00.00.000 W000.00.00.000
ACAGU N036.48.58.340 W103.11.42.950
ACELI N035.25.22.880 W108.05.28.490
ACEPA N036.53.31.580 W113.35.36.720
ACERO N036.21.48.690 W103.12.43.880
ACHES N037.26.09.180 W105.26.00.800
ACINI N031.52.48.010 W110.31.02.110
ACMIE N034.56.56.170 W106.40.29.600
ACODI N036.44.29.870 W108.13.01.480
ACOMA N034.53.15.740 W107.25.18.560
ACRES N032.26.30.050 W105.47.14.210
ACSIN N035.52.40.230 W114.33.53.230
ADABY N035.28.33.580 W108.52.21.410
ADEPE N035.17.16.090 W111.24.32.710
ADORY N033.27.17.470 W102.22.32.950
ADOZO N036.24.20.680 W104.53.57.630
ADUMY N036.45.28.270 W107.56.39.830
ADUXE N034.45.26.820 W114.36.45.810
ADWOT N033.25.43.930 W112.04.08.120
ADYAN N033.52.45.150 W109.53.07.460
ADYOS N035.02.51.540 W106.55.28.980
AEJAY N033.22.29.100 W111.28.35.380
AFBUL N031.51.11.200 W103.16.31.990
AFRIT N035.11.08.880 W101.54.52.390
AFXUR N033.38.28.650 W111.53.59.510
AGAZY N031.11.44.210 W104.08.10.140
AGERE N033.14.45.800 W112.27.21.640
AGGID N035.01.55.250 W114.31.59.820
AGGLA N033.19.25.110 W112.21.26.940
AGOPE N031.45.42.900 W106.10.26.420
AHASS N031.55.50.930 W103.21.03.180
AHGAW N035.22.53.580 W113.51.54.610
AHHIC N031.28.38.650 W110.53.20.060
AHILO N031.26.08.100 W110.55.22.810
AHPAZ N034.19.11.570 W109.57.31.200
AJETU N032.43.31.520 W103.18.52.050
AJEWU N033.56.44.140 W101.49.51.080
AKACU N031.20.44.000 W110.51.18.000
AKADE N031.43.19.570 W106.19.04.580
AKASE N032.03.31.180 W105.46.26.620
AKIXE N031.57.53.280 W110.45.55.490
AKYIV N033.14.18.230 W111.34.49.410
ALBNY N033.16.27.620 W111.37.00.800
ALEYI N035.36.40.020 W106.04.20.320
ALEYS N033.17.48.110 W112.02.56.630
ALIBY N031.55.16.620 W107.46.44.110
ALIEE N033.13.40.840 W111.30.38.080
ALISS N030.15.49.660 W099.20.50.030
ALLIB N035.51.11.430 W100.27.17.190
ALLIS N033.26.57.180 W112.37.31.640
ALMON N032.23.00.780 W111.29.41.130
ALOGE N033.25.43.930 W112.04.11.710
ALOYI N036.48.27.740 W101.58.58.820
ALRAY N035.19.00.980 W113.54.07.110
ALVRZ N034.56.15.210 W106.28.08.300
AMACO N035.17.41.790 W101.37.48.280
AMBRR N033.17.27.650 W112.20.50.070
AMERE N035.54.17.610 W112.22.57.750
AMIGO N033.21.09.570 W112.50.54.330
AMRRA N034.58.38.480 W106.58.25.940
AMUKI N029.30.58.000 W104.17.39.000
AMXUK N032.57.39.930 W109.23.29.320
ANCHO N033.36.28.960 W105.59.58.770
ANEEL N032.23.36.930 W102.50.45.730
ANEKE N036.14.33.670 W105.14.05.080
ANGRY N033.22.55.320 W112.13.19.850
ANIMA N031.54.57.690 W108.30.51.330
ANJIE N031.42.55.100 W106.07.33.020
ANNDD N033.36.31.620 W112.02.28.440
ANNTI N033.52.47.100 W112.03.11.280
ANZEL N033.21.36.110 W111.47.59.460
APACI N032.09.35.000 W110.19.54.000
APATE N035.16.46.500 W114.10.59.230
APEMY N035.11.21.180 W112.59.48.050
APHIS N034.03.08.860 W114.19.31.710
APQIT N032.34.57.000 W102.38.50.240
AQZED N033.26.41.130 W104.20.47.950
ARABE N035.19.24.520 W108.57.19.640
ARAZI N032.45.58.820 W114.42.05.930
ARDYN N036.44.55.690 W107.53.29.470
AREAF N035.36.31.770 W113.13.50.460
ARENT N036.46.25.690 W113.37.49.960
ARERE N032.18.57.960 W110.53.08.880
ARHEY N034.36.57.830 W114.23.06.830
ARHIF N033.05.34.890 W103.14.34.470
ARIWU N032.28.55.690 W102.38.45.550
ARJAY N034.09.08.790 W103.36.58.050
ARLIN N033.17.01.370 W112.41.06.470
AROGE N036.46.00.280 W111.24.39.710
AROYO N035.06.29.090 W107.06.38.490
ARRIN N034.03.57.110 W107.52.32.180
ARSON N032.46.36.960 W113.28.17.280
ARUJU N032.56.59.580 W109.44.56.060
ARULY N033.14.30.510 W111.54.56.380
ARUZI N035.05.06.750 W101.49.34.340
ARUZI N035.05.06.750 W101.49.34.340
ARVEY N031.41.38.570 W110.58.50.880
ASIDE N035.17.20.120 W106.44.25.880
ASONE N032.05.32.500 W110.54.41.480
ASOYA N035.56.07.850 W103.31.04.280
ASTAH N035.00.57.020 W106.45.05.630
ATEGE N033.42.27.150 W112.30.26.110
ATGIY N031.01.55.220 W103.06.08.980
ATKNN N031.48.25.910 W106.35.02.270
ATOGE N031.58.06.050 W110.45.58.960
ATOMK N035.57.20.710 W106.56.34.930
ATUCU N035.25.11.730 W107.50.35.060
AUXFL N034.57.19.620 W106.35.14.090
AVANS N034.56.03.670 W110.27.30.970
AVENT N033.41.31.730 W112.02.09.930
AVOME N032.10.35.150 W110.43.19.920
AVONA N033.26.32.040 W112.19.32.340
AWASH N035.16.35.440 W106.59.15.330
AWIZO N035.56.02.450 W111.47.01.900
AWRES N034.22.10.670 W103.20.25.620
AXARY N032.13.50.110 W107.24.58.410
AXDEH N035.04.49.000 W106.33.37.800
AXEPE N032.04.35.420 W104.31.59.480
AXESE N031.58.06.710 W111.06.57.460
AXIPE N036.42.24.790 W105.36.31.280
AYAVA N036.52.08.580 W111.26.08.550
