AR623(Blk190-220)               O              O              O              O
                          N035.52.00.000 W102.32.00.000 N035.57.00.000 W102.36.00.000 RED
                          N035.57.00.000 W102.36.00.000 N036.01.00.000 W102.42.00.000 RED
                          N036.01.00.000 W102.42.00.000 N036.04.00.000 W102.49.00.000 RED
                          N036.04.00.000 W102.49.00.000 N036.41.00.000 W105.25.00.000 RED
                          N036.41.00.000 W105.25.00.000 N036.42.00.000 W105.33.00.000 RED
                          N036.42.00.000 W105.33.00.000 N036.42.00.000 W105.41.00.000 RED
                          N036.42.00.000 W105.41.00.000 N036.39.00.000 W105.48.00.000 RED
                          N036.39.00.000 W105.48.00.000 N036.23.00.000 W105.53.00.000 RED
                          N036.23.00.000 W105.53.00.000 N036.19.00.000 W105.48.00.000 RED
                          N036.19.00.000 W105.48.00.000 N036.15.00.000 W105.42.00.000 RED
                          N036.15.00.000 W105.42.00.000 N036.12.00.000 W105.35.00.000 RED
                          N036.12.00.000 W105.35.00.000 N035.35.00.000 W103.00.00.000 RED
                          N035.35.00.000 W103.00.00.000 N035.34.00.000 W102.53.00.000 RED
                          N035.34.00.000 W102.53.00.000 N035.35.00.000 W102.45.00.000 RED
                          N035.35.00.000 W102.45.00.000 N035.36.00.000 W102.38.00.000 RED
                          N035.36.00.000 W102.38.00.000 N035.52.00.000 W102.32.00.000 RED
;
