*SRR_ATS_Approaches             O              O              O              O
                          S000.00.10.392 W000.00.18.000 S000.00.10.392 E000.00.18.000 RVM
                          S000.00.10.392 E000.00.18.000 N000.00.20.785 W000.00.00.000 RVM
                          N000.00.28.057 W000.00.16.199 S000.00.00.000 W000.00.32.398 RVM
                          S000.00.00.000 W000.00.32.398 S000.00.28.058 W000.00.16.199 RVM
                          S000.00.28.058 W000.00.16.199 S000.00.28.058 E000.00.16.199 RVM
                          S000.00.28.058 E000.00.16.199 S000.00.00.000 E000.00.32.398 RVM
                          S000.00.00.000 E000.00.32.398 N000.00.28.057 E000.00.16.199 RVM
                          N032.59.46.821 W104.45.01.283 N032.58.17.943 W104.44.07.686 RVM
                          N032.58.12.083 W104.45.19.924 N032.59.41.938 W104.43.47.880 RVM
                          N033.05.58.017 W104.37.38.333 N033.04.23.389 W104.36.52.893 RVM
                          N033.04.21.438 W104.37.53.480 N033.05.56.066 W104.36.35.417 RVM
                          N033.05.01.380 W104.20.14.961 N033.03.29.664 W104.19.07.384 RVM
                          N033.03.26.736 W104.20.13.795 N033.05.01.380 W104.19.09.714 RVM
                          N032.58.59.866 W104.12.48.517 N032.57.18.275 W104.12.04.242 RVM
                          N032.57.25.114 W104.13.07.158 N032.58.48.146 W104.11.45.601 RVM
                          N033.35.40.011 W105.08.10.002 N033.33.57.521 W105.06.50.459 RVM
                          N033.33.49.635 W105.07.54.851 N033.35.58.928 W105.06.56.141 RVM
                          N033.32.19.795 W105.16.25.674 N033.31.28.228 W105.18.35.212 RVM
                          N033.30.59.772 W105.16.59.667 N033.32.48.258 W105.18.01.240 RVM
                          N033.37.10.099 W104.54.46.650 N033.38.58.764 W104.55.47.836 RVM
                          N033.38.30.018 W104.54.12.278 N033.37.38.837 W104.56.22.186 RVM
                          N032.59.24.431 W104.38.18.754 N033.01.13.242 W104.39.19.163 RVM
                          N033.00.44.283 W104.37.44.379 N032.59.53.383 W104.39.53.517 RVM
                          N032.59.52.878 W104.17.06.524 N032.59.02.336 W104.19.15.839 RVM
                          N032.43.22.599 W104.17.11.842 N032.42.32.055 W104.19.20.754 RVM
                          N032.29.34.636 W104.17.25.599 N032.28.44.088 W104.19.34.174 RVM
                          N032.58.33.121 W104.17.41.204 N033.00.22.100 W104.18.41.179 RVM
                          N032.28.14.878 W104.18.00.077 N032.30.03.854 W104.18.59.716 RVM
                          N032.42.02.841 W104.17.46.414 N032.43.51.820 W104.18.46.203 RVM
                          N033.28.21.378 W105.30.10.262 N033.28.41.023 W105.29.02.378 RVM
